amount_vended_L,flavor_id,flavor_levels_after,flavor_name,tank_level_after,timestamp
1.0,12,"499,500,500",orange,749.0,2019-01-01 02:40:10.808195
0.5,12,"498,500,500",orange,748.5,2019-01-01 03:48:44.388592
1.0,24,"498,499,500",eucalyptus,747.5,2019-01-01 04:29:31.196564
1.0,12,"497,499,500",orange,746.5,2019-01-01 04:56:13.073123
1.0,1,"497,499,499",lime,745.5,2019-01-01 05:22:56.414757
1.0,1,"497,499,498",lime,744.5,2019-01-01 05:41:59.503067
1.0,1,"497,499,497",lime,743.5,2019-01-01 06:01:02.425417
1.0,12,"496,499,497",orange,742.5,2019-01-01 06:15:39.939304
0.5,24,"496,498,497",eucalyptus,742.0,2019-01-01 06:30:14.036745
0.5,12,"495,498,497",orange,741.5,2019-01-01 06:44:51.060053
1.0,12,"494,498,497",orange,740.5,2019-01-01 06:59:29.041960
0.5,1,"494,498,496",lime,740.0,2019-01-01 07:14:05.934212
0.5,-1,"494,498,496",water,739.5,2019-01-01 07:25:54.314376
1.0,24,"494,497,496",eucalyptus,738.5,2019-01-01 07:37:45.453994
0.5,24,"494,496,496",eucalyptus,738.0,2019-01-01 07:49:34.289985
1.0,24,"494,495,496",eucalyptus,737.0,2019-01-01 08:01:24.868600
0.5,24,"494,494,496",eucalyptus,736.5,2019-01-01 08:11:32.305913
1.0,24,"494,493,496",eucalyptus,735.5,2019-01-01 08:21:38.198671
0.5,-1,"494,493,496",water,735.0,2019-01-01 08:31:39.770389
1.0,1,"494,493,495",lime,734.0,2019-01-01 08:41:40.559609
1.0,12,"493,493,495",orange,733.0,2019-01-01 08:51:41.778603
0.5,1,"493,493,494",lime,732.5,2019-01-01 09:01:42.680225
1.0,1,"493,493,493",lime,731.5,2019-01-01 09:10:35.472030
0.5,1,"493,493,492",lime,731.0,2019-01-01 09:19:28.160086
1.0,-1,"493,493,492",water,730.0,2019-01-01 09:28:21.666940
1.0,1,"493,493,491",lime,729.0,2019-01-01 09:37:14.052276
1.0,12,"492,493,491",orange,728.0,2019-01-01 09:46:06.930203
1.0,12,"491,493,491",orange,727.0,2019-01-01 09:54:59.559583
0.5,-1,"491,493,491",water,726.5,2019-01-01 10:03:52.565448
1.0,1,"491,493,490",lime,725.5,2019-01-01 10:12:02.725682
0.5,-1,"491,493,490",water,725.0,2019-01-01 10:20:12.478773
1.0,1,"491,493,489",lime,724.0,2019-01-01 10:28:22.529893
0.5,-1,"491,493,489",water,723.5,2019-01-01 10:36:32.778435
1.0,12,"490,493,489",orange,722.5,2019-01-01 10:44:41.649811
1.0,1,"490,493,488",lime,721.5,2019-01-01 10:52:50.488505
0.5,1,"490,493,487",lime,721.0,2019-01-01 11:00:59.711822
1.0,-1,"490,493,487",water,720.0,2019-01-01 11:08:46.114702
1.0,1,"490,493,486",lime,719.0,2019-01-01 11:16:32.036201
